make,model,month,sales
Mahindra,Alturas G4,21/07 July 2021,44
Mahindra,Alturas G4,21/08 August 2021,42
Mahindra,Alturas G4,21/09 September 2021,51
Mahindra,Alturas G4,21/10 October 2021,40
Mahindra,Alturas G4,21/11 November 2021,80
Mahindra,Alturas G4,21/12 December 2021,18
Mahindra,Alturas G4,22/01 January 2022,0
Mahindra,Alturas G4,22/02 February 2022,27
Mahindra,Alturas G4,22/03 March 2022,41
Mahindra,Alturas G4,22/04 April 2022,47
Mahindra,Bolero,21/07 July 2021,6491
Mahindra,Bolero,21/08 August 2021,3218
Mahindra,Bolero,21/09 September 2021,1755
Mahindra,Bolero,21/10 October 2021,6375
Mahindra,Bolero,21/11 November 2021,5442
Mahindra,Bolero,21/12 December 2021,5314
Mahindra,Bolero,22/01 January 2022,3506
Mahindra,Bolero,22/02 February 2022,11045
Mahindra,Bolero,22/03 March 2022,6924
Mahindra,Bolero,22/04 April 2022,7686
Mahindra,Marazzo,21/07 July 2021,279
Mahindra,Marazzo,21/08 August 2021,181
Mahindra,Marazzo,21/09 September 2021,70
Mahindra,Marazzo,21/10 October 2021,12
Mahindra,Marazzo,21/11 November 2021,99
Mahindra,Marazzo,21/12 December 2021,2
Mahindra,Marazzo,22/01 January 2022,0
Mahindra,Marazzo,22/02 February 2022,147
Mahindra,Marazzo,22/03 March 2022,279
Mahindra,Marazzo,22/04 April 2022,168
Mahindra,Scorpio,21/07 July 2021,3855
Mahindra,Scorpio,21/08 August 2021,2606
Mahindra,Scorpio,21/09 September 2021,2588
Mahindra,Scorpio,21/10 October 2021,3304
Mahindra,Scorpio,21/11 November 2021,3370
Mahindra,Scorpio,21/12 December 2021,1757
Mahindra,Scorpio,22/01 January 2022,3026
Mahindra,Scorpio,22/02 February 2022,2610
Mahindra,Scorpio,22/03 March 2022,6061
Mahindra,Scorpio,22/04 April 2022,2712
Mahindra,Thar,21/07 July 2021,3203
Mahindra,Thar,21/08 August 2021,3493
Mahindra,Thar,21/09 September 2021,3134
Mahindra,Thar,21/10 October 2021,2692
Mahindra,Thar,21/11 November 2021,3181
Mahindra,Thar,21/12 December 2021,2138
Mahindra,Thar,22/01 January 2022,4646
Mahindra,Thar,22/02 February 2022,5072
Mahindra,Thar,22/03 March 2022,3893
Mahindra,Thar,22/04 April 2022,3152
Mahindra,XUV300,21/07 July 2021,6027
Mahindra,XUV300,21/08 August 2021,5861
Mahindra,XUV300,21/09 September 2021,3693
Mahindra,XUV300,21/10 October 2021,4203
Mahindra,XUV300,21/11 November 2021,4005
Mahindra,XUV300,21/12 December 2021,4260
Mahindra,XUV300,22/01 January 2022,4550
Mahindra,XUV300,22/02 February 2022,4511
Mahindra,XUV300,22/03 March 2022,4140
Mahindra,XUV300,22/04 April 2022,3909
Mahindra,eVerito,21/07 July 2021,0
Mahindra,eVerito,21/08 August 2021,0
Mahindra,eVerito,21/09 September 2021,0
Mahindra,eVerito,21/10 October 2021,0
Mahindra,eVerito,21/11 November 2021,0
Mahindra,eVerito,21/12 December 2021,0
Mahindra,eVerito,22/01 January 2022,12
Mahindra,eVerito,22/02 February 2022,12
Mahindra,eVerito,22/03 March 2022,6
Mahindra,eVerito,22/04 April 2022,1
Mahindra,Bolero Pick up,21/07 July 2021,0
Mahindra,Bolero Pick up,21/08 August 2021,0
Mahindra,Bolero Pick up,21/09 September 2021,0
Mahindra,Bolero Pick up,21/10 October 2021,0
Mahindra,Bolero Pick up,21/11 November 2021,0
Mahindra,Bolero Pick up,21/12 December 2021,0
Mahindra,Bolero Pick up,22/01 January 2022,0
Mahindra,Bolero Pick up,22/02 February 2022,0
Mahindra,Bolero Pick up,22/03 March 2022,0
Mahindra,Bolero Pick up,22/04 April 2022,0
Mahindra,XUV700 5-Seater,21/07 July 2021,0
Mahindra,XUV700 5-Seater,21/08 August 2021,0
Mahindra,XUV700 5-Seater,21/09 September 2021,1370
Mahindra,XUV700 5-Seater,21/10 October 2021,3407
Mahindra,XUV700 5-Seater,21/11 November 2021,3207
Mahindra,XUV700 5-Seater,21/12 December 2021,3980
Mahindra,XUV700 5-Seater,22/01 January 2022,4119
Mahindra,XUV700 5-Seater,22/02 February 2022,4138
Mahindra,XUV700 5-Seater,22/03 March 2022,6040
Mahindra,XUV700 5-Seater,22/04 April 2022,4494
Mahindra,Bolero Neo,21/07 July 2021,0
Mahindra,Bolero Neo,21/08 August 2021,0
Mahindra,Bolero Neo,21/09 September 2021,0
Mahindra,Bolero Neo,21/10 October 2021,0
Mahindra,Bolero Neo,21/11 November 2021,0
Mahindra,Bolero Neo,21/12 December 2021,5314
Mahindra,Bolero Neo,22/01 January 2022,3506
Mahindra,Bolero Neo,22/02 February 2022,11045
Mahindra,Bolero Neo,22/03 March 2022,6924
Mahindra,Bolero Neo,22/04 April 2022,7686
Mahindra,KUV100 NXT,21/07 July 2021,0
Mahindra,KUV100 NXT,21/08 August 2021,0
Mahindra,KUV100 NXT,21/09 September 2021,0
Mahindra,KUV100 NXT,21/10 October 2021,0
Mahindra,KUV100 NXT,21/11 November 2021,0
Mahindra,KUV100 NXT,21/12 December 2021,0
Mahindra,KUV100 NXT,22/01 January 2022,0
Mahindra,KUV100 NXT,22/02 February 2022,0
Mahindra,KUV100 NXT,22/03 March 2022,0
Mahindra,KUV100 NXT,22/04 April 2022,0
Mahindra,XUV700 7-Seater,21/07 July 2021,0
Mahindra,XUV700 7-Seater,21/08 August 2021,0
Mahindra,XUV700 7-Seater,21/09 September 2021,1370
Mahindra,XUV700 7-Seater,21/10 October 2021,3407
Mahindra,XUV700 7-Seater,21/11 November 2021,3207
Mahindra,XUV700 7-Seater,21/12 December 2021,3980
Mahindra,XUV700 7-Seater,22/01 January 2022,4119
Mahindra,XUV700 7-Seater,22/02 February 2022,4138
Mahindra,XUV700 7-Seater,22/03 March 2022,6040
Mahindra,XUV700 7-Seater,22/04 April 2022,4494
Maruti Arena,Alto,21/07 July 2021,12867
Maruti Arena,Alto,21/08 August 2021,13236
Maruti Arena,Alto,21/09 September 2021,12143
Maruti Arena,Alto,21/10 October 2021,17389
Maruti Arena,Alto,21/11 November 2021,13812
Maruti Arena,Alto,21/12 December 2021,11170
Maruti Arena,Alto,22/01 January 2022,12342
Maruti Arena,Alto,22/02 February 2022,11551
Maruti Arena,Alto,22/03 March 2022,7621
Maruti Arena,Alto,22/04 April 2022,10443
Maruti Arena,Dzire,21/07 July 2021,10470
Maruti Arena,Dzire,21/08 August 2021,5714
Maruti Arena,Dzire,21/09 September 2021,2141
Maruti Arena,Dzire,21/10 October 2021,8077
Maruti Arena,Dzire,21/11 November 2021,8196
Maruti Arena,Dzire,21/12 December 2021,10633
Maruti Arena,Dzire,22/01 January 2022,14967
